uid,category,turn_indices,gt_turn_index,gt_type,gt_role,gt_value,pred_type,pred_tools,pred_response,pred_error,score_when2call,score_schema_reliability_raw,score_schema_reliability_processed,score_tool_pick_up_rate,score_tool_hallucination_rate,score_tool_additional_rate,score_variable_pickup_rate,score_variable_correct_rate,score_variable_hallucination_rate,score_variable_additional_rate,score_exact_match,raw_output
e3ba3ce4-ric,complete,[0],1,tool,assistant,"{""name"": ""show_stacked_bar_chart"", ""arguments"": {""data_type"": ""spending"", ""time_range"": ""last_90_days"", ""group_by"": ""category""}}",tool,"[{""name"": ""show_stacked_bar_chart"", ""arguments"": {""data_type"": ""spending"", ""time_range"": ""last_30_days"", ""group_by"": ""category""}}]",,,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.6666666666666666,0.0,0.0,0.0,"{""role"": ""assistant"", ""content"": ""{\""tool_calls\"": {\""name\"": \""show_stacked_bar_chart\"", \""args\"": {\""data_type\"": \""spending\"", \""time_range\"": \""last_30_days\"", \""group_by\"": \""category\""}}}""}"
923fc43c-ric,complete,[0],1,tool,assistant,"{""name"": ""show_pie_chart"", ""arguments"": {""data_type"": ""spending"", ""time_range"": ""this_month"", ""group_by"": ""payee"", ""limit"": 3}}",tool,"[{""name"": ""show_pie_chart"", ""arguments"": {""data_type"": ""spending"", ""time_range"": ""this_month"", ""group_by"": ""payee"", ""limit"": 3}}]",,,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,"{""role"": ""assistant"", ""content"": ""{\""tool_calls\"": {\""name\"": \""show_pie_chart\"", \""args\"": {\""data_type\"": \""spending\"", \""time_range\"": \""this_month\"", \""group_by\"": \""payee\"", \""limit\"": 3}}}""}"
df52c04e-ric,complete,[0],1,tool,assistant,"{""name"": ""show_pie_chart"", ""arguments"": {""data_type"": ""spending"", ""time_range"": ""last_30_days"", ""group_by"": ""payee"", ""payees"": [""IKEA"", ""Wagamama"", ""John Lewis""]}}",tool,"[{""name"": ""show_pie_chart"", ""arguments"": {""data_type"": ""spending"", ""time_range"": ""last_month"", ""group_by"": ""payee"", ""payees"": [""IKEA"", ""Wagamama"", ""John Lewis""]}}]",,,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.75,0.0,0.0,0.0,"{""role"": ""assistant"", ""content"": ""{\""tool_calls\"": {\""name\"": \""show_pie_chart\"", \""args\"": {\""data_type\"": \""spending\"", \""time_range\"": \""last_month\"", \""group_by\"": \""payee\"", \""payees\"": [\""IKEA\"", \""Wagamama\"", \""John Lewis\""]}}}""}"
184028da-ric,complete,[0],1,tool,assistant,"{""name"": ""show_line_chart"", ""arguments"": {""chart_type"": ""balance"", ""time_range"": ""this_year""}}",tool,"[{""name"": ""show_line_chart"", ""arguments"": {""chart_type"": ""balance"", ""time_range"": ""this_year"", ""by_account"": true}}]",,,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.5,1.0,"{""role"": ""assistant"", ""content"": ""{\""tool_calls\"": {\""name\"": \""show_line_chart\"", \""args\"": {\""chart_type\"": \""balance\"", \""time_range\"": \""this_year\""\n, \""by_account\"": true}}}""}"
c6e00fe6-ric,complete,[0],1,tool,assistant,"{""name"": ""show_pie_chart"", ""arguments"": {""data_type"": ""income"", ""time_range"": ""last_30_days"", ""group_by"": ""payee"", ""payees"": [""EMPLOYER_PAYROLL""]}}",tool,"[{""name"": ""show_pie_chart"", ""arguments"": {""data_type"": ""income"", ""time_range"": ""last_month"", ""group_by"": ""payee"", ""payees"": [""The Alchemist""]}}]",,,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,"{""role"": ""assistant"", ""content"": ""{\""tool_calls\"": {\""name\"": \""show_pie_chart\"", \""args\"": {\""data_type\"": \""income\"", \""time_range\"": \""last_month\"", \""group_by\"": \""payee\"", \""payees\"": [\""The Alchemist\""]}}}""}"
40135548-ric,complete,[0],1,tool,assistant,"{""name"": ""show_stacked_bar_chart"", ""arguments"": {""data_type"": ""spending"", ""time_range"": ""this_year"", ""group_by"": ""payee"", ""payees"": [""Dental Practice"", ""Boots"", ""Gymshark""]}}",tool,"[{""name"": ""show_pie_chart"", ""arguments"": {""data_type"": ""spending"", ""time_range"": ""this_year"", ""group_by"": ""payee"", ""payees"": [""Dental Practice"", ""Boots"", ""Gymshark""]}}]",,,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,"{""role"": ""assistant"", ""content"": ""{\""tool_calls\"": {\""name\"": \""show_pie_chart\"", \""args\"": {\""data_type\"": \""spending\"", \""time_range\"": \""this_year\"", \""group_by\"": \""payee\"", \""payees\"": [\""Dental Practice\"", \""Boots\"", \""Gymshark\""]}}}""}"
b535f13d-ric,complete,[0],1,tool,assistant,"{""name"": ""show_pie_chart"", ""arguments"": {""data_type"": ""income"", ""time_range"": ""last_30_days"", ""group_by"": ""payee""}}",tool,"[{""name"": ""show_pie_chart"", ""arguments"": {""data_type"": ""income"", ""time_range"": ""last_month"", ""group_by"": ""payee""}}]",,,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.6666666666666666,0.0,0.0,0.0,"{""role"": ""assistant"", ""content"": ""{\""tool_calls\"": {\""name\"": \""show_pie_chart\"", \""args\"": {\""data_type\"": \""income\"", \""time_range\"": \""last_month\"", \""group_by\"": \""payee\""}}}""}"
723c23b1-ric,complete,[0],1,tool,assistant,"{""name"": ""show_pie_chart"", ""arguments"": {""data_type"": ""spending"", ""time_range"": ""last_90_days"", ""group_by"": ""payee""}}",tool,"[{""name"": ""show_pie_chart"", ""arguments"": {""data_type"": ""spending"", ""time_range"": ""last_30_days"", ""group_by"": ""payee""}}]",,,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.6666666666666666,0.0,0.0,0.0,"{""role"": ""assistant"", ""content"": ""{\""tool_calls\"": {\""name\"": \""show_pie_chart\"", \""args\"": {\""data_type\"": \""spending\"", \""time_range\"": \""last_30_days\"", \""group_by\"": \""payee\""}}}""}"
9a4ed787-ric,complete,[0],1,tool,assistant,"{""name"": ""show_pie_chart"", ""arguments"": {""data_type"": ""spending"", ""time_range"": ""this_month"", ""group_by"": ""category""}}",tool,"[{""name"": ""show_pie_chart"", ""arguments"": {""data_type"": ""spending"", ""time_range"": ""this_month"", ""group_by"": ""category""}}]",,,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,"{""role"": ""assistant"", ""content"": ""{\""tool_calls\"": {\""name\"": \""show_pie_chart\"", \""args\"": {\""data_type\"": \""spending\"", \""time_range\"": \""this_month\"", \""group_by\"": \""category\""}}}""}"
f9a390c9-ric,complete,[0],1,tool,assistant,"{""name"": ""show_stacked_bar_chart"", ""arguments"": {""data_type"": ""spending"", ""time_range"": ""this_year"", ""group_by"": ""payee"", ""limit"": 3, ""payees"": [""Ticketmaster"", ""Day Spa"", ""Aviva""]}}",tool,"[{""name"": ""show_stacked_bar_chart"", ""arguments"": {""data_type"": ""spending"", ""time_range"": ""this_year"", ""group_by"": ""payee"", ""payees"": [""Ticketmaster"", ""Day Spa"", ""Aviva""]}}]",,,1.0,1.0,1.0,1.0,0.0,0.0,0.8,0.8,0.0,0.0,0.0,"{""role"": ""assistant"", ""content"": ""{\""tool_calls\"": {\""name\"": \""show_stacked_bar_chart\"", \""args\"": {\""data_type\"": \""spending\"", \""time_range\"": \""this_year\"", \""group_by\"": \""payee\"", \""payees\"": [\""Ticketmaster\"", \""Day Spa\"", \""Aviva\""]}}}""}"
85a05e27-ric,complete,[0],1,tool,assistant,"{""name"": ""show_pie_chart"", ""arguments"": {""data_type"": ""income"", ""time_range"": ""last_30_days"", ""group_by"": ""category""}}",tool,"[{""name"": ""show_pie_chart"", ""arguments"": {""data_type"": ""income"", ""time_range"": ""last_month"", ""group_by"": ""payee""}}]",,,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.3333333333333333,0.0,0.0,0.0,"{""role"": ""assistant"", ""content"": ""{\""tool_calls\"": {\""name\"": \""show_pie_chart\"", \""args\"": {\""data_type\"": \""income\"", \""time_range\"": \""last_month\"", \""group_by\"": \""payee\""}}}""}"
e96b78bd-ric,complete,[0],1,tool,assistant,"{""name"": ""show_pie_chart"", ""arguments"": {""data_type"": ""spending"", ""time_range"": ""last_month"", ""group_by"": ""category"", ""limit"": 5}}",tool,"[{""name"": ""show_pie_chart"", ""arguments"": {""data_type"": ""spending"", ""time_range"": ""last_month"", ""group_by"": ""category"", ""limit"": 5}}]",,,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,"{""role"": ""assistant"", ""content"": ""{\""tool_calls\"": {\""name\"": \""show_pie_chart\"", \""args\"": {\""data_type\"": \""spending\"", \""time_range\"": \""last_month\"", \""group_by\"": \""category\"", \""limit\"": 5}}}""}"
a1fd66eb-ric,complete,[0],1,tool,assistant,"{""name"": ""show_pie_chart"", ""arguments"": {""data_type"": ""income"", ""time_range"": ""last_month"", ""group_by"": ""payee""}}",tool,"[{""name"": ""show_pie_chart"", ""arguments"": {""data_type"": ""income"", ""time_range"": ""last_month"", ""group_by"": ""payee""}}]",,,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,"{""role"": ""assistant"", ""content"": ""{\""tool_calls\"": {\""name\"": \""show_pie_chart\"", \""args\"": {\""data_type\"": \""income\"", \""time_range\"": \""last_month\"", \""group_by\"": \""payee\""}}}""}"
0a27bafb-ric,complete,[0],1,tool,assistant,"{""name"": ""show_stacked_bar_chart"", ""arguments"": {""data_type"": ""spending"", ""time_range"": ""last_90_days"", ""group_by"": ""category"", ""categories"": [""Utilities"", ""Clothing & Shoes""]}}",tool,"[{""name"": ""show_stacked_bar_chart"", ""arguments"": {""data_type"": ""spending"", ""time_range"": ""last_30_days"", ""group_by"": ""category"", ""categories"": [""Utilities"", ""Clothing & Shoes""]}}]",,,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.75,0.0,0.0,0.0,"{""role"": ""assistant"", ""content"": ""{\""tool_calls\"": {\""name\"": \""show_stacked_bar_chart\"", \""args\"": {\""data_type\"": \""spending\"", \""time_range\"": \""last_30_days\"", \""group_by\"": \""category\"", \""categories\"": [\""Utilities\"", \""Clothing & Shoes\""]}}}""}"
db80a146-ric,complete,[0],1,tool,assistant,"{""name"": ""show_pie_chart"", ""arguments"": {""data_type"": ""spending"", ""time_range"": ""this_year"", ""group_by"": ""category""}}",tool,"[{""name"": ""show_pie_chart"", ""arguments"": {""data_type"": ""spending"", ""time_range"": ""this_year"", ""group_by"": ""category""}}]",,,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,"{""role"": ""assistant"", ""content"": ""{\""tool_calls\"": {\""name\"": \""show_pie_chart\"", \""args\"": {\""data_type\"": \""spending\"", \""time_range\"": \""this_year\"", \""group_by\"": \""category\""}}}""}"
5371ccf1-ric,complete,[0],1,tool,assistant,"{""name"": ""show_stacked_bar_chart"", ""arguments"": {""data_type"": ""spending"", ""time_range"": ""this_year"", ""group_by"": ""category""}}",tool,"[{""name"": ""show_pie_chart"", ""arguments"": {""data_type"": ""spending"", ""time_range"": ""this_year"", ""group_by"": ""category""}}]",,,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,"{""role"": ""assistant"", ""content"": ""{\""tool_calls\"": {\""name\"": \""show_pie_chart\"", \""args\"": {\""data_type\"": \""spending\"", \""time_range\"": \""this_year\"", \""group_by\"": \""category\""}}}""}"
88aa4b34-ric,complete,[0],1,tool,assistant,"{""name"": ""show_stacked_bar_chart"", ""arguments"": {""data_type"": ""spending"", ""time_range"": ""last_90_days"", ""categories"": [""Restaurants"", ""Fuel"", ""Spa & Wellness""]}}",tool,"[{""name"": ""show_stacked_bar_chart"", ""arguments"": {""data_type"": ""spending"", ""time_range"": ""last_30_days"", ""group_by"": ""category"", ""categories"": [""Restaurants"", ""Fuel"", ""Spa & Wellness""]}}]",,,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.6666666666666666,0.0,0.3333333333333333,0.0,"{""role"": ""assistant"", ""content"": ""{\""tool_calls\"": {\""name\"": \""show_stacked_bar_chart\"", \""args\"": {\""data_type\"": \""spending\"", \""time_range\"": \""last_30_days\"", \""group_by\"": \""category\"", \""categories\"": [\""Restaurants\"", \""Fuel\"", \""Spa & Wellness\""]}}}""}"
4cf226de-ric,complete,[0],1,tool,assistant,"{""name"": ""show_pie_chart"", ""arguments"": {""data_type"": ""spending"", ""time_range"": ""last_30_days"", ""group_by"": ""category"", ""categories"": [""Hair & Beauty"", ""Fuel"", ""Groceries""]}}",tool,"[{""name"": ""show_pie_chart"", ""arguments"": {""data_type"": ""spending"", ""time_range"": ""last_month"", ""group_by"": ""category"", ""categories"": [""Hair & Beauty"", ""Fuel"", ""Groceries""]}}]",,,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.75,0.0,0.0,0.0,"{""role"": ""assistant"", ""content"": ""{\""tool_calls\"": {\""name\"": \""show_pie_chart\"", \""args\"": {\""data_type\"": \""spending\"", \""time_range\"": \""last_month\"", \""group_by\"": \""category\"", \""categories\"": [\""Hair & Beauty\"", \""Fuel\"", \""Groceries\""]}}}""}"
b21dd578-ric,complete,[0],1,tool,assistant,"{""name"": ""show_pie_chart"", ""arguments"": {""data_type"": ""spending"", ""time_range"": ""last_month"", ""group_by"": ""payee""}}",tool,"[{""name"": ""show_pie_chart"", ""arguments"": {""data_type"": ""spending"", ""time_range"": ""last_month"", ""group_by"": ""category""}}]",,,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.6666666666666666,0.0,0.0,0.0,"{""role"": ""assistant"", ""content"": ""{\""tool_calls\"": {\""name\"": \""show_pie_chart\"", \""args\"": {\""data_type\"": \""spending\"", \""time_range\"": \""last_month\"", \""group_by\"": \""category\""}}}""}"
031fd0e8-ric,complete,[0],1,tool,assistant,"{""name"": ""show_pie_chart"", ""arguments"": {""data_type"": ""income"", ""time_range"": ""this_year"", ""group_by"": ""category"", ""limit"": 3}}",tool,"[{""name"": ""show_pie_chart"", ""arguments"": {""data_type"": ""income"", ""time_range"": ""this_year"", ""group_by"": ""category"", ""limit"": 3}}]",,,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,"{""role"": ""assistant"", ""content"": ""{\""tool_calls\"": {\""name\"": \""show_pie_chart\"", \""args\"": {\""data_type\"": \""income\"", \""time_range\"": \""this_year\"", \""group_by\"": \""category\"", \""limit\"": 3}}}""}"
e0527a2c-ric,complete,[0],1,tool,assistant,"{""name"": ""show_pie_chart"", ""arguments"": {""data_type"": ""spending"", ""time_range"": ""last_30_days"", ""group_by"": ""category""}}",tool,"[{""name"": ""show_pie_chart"", ""arguments"": {""data_type"": ""spending"", ""time_range"": ""last_month"", ""group_by"": ""category""}}]",,,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.6666666666666666,0.0,0.0,0.0,"{""role"": ""assistant"", ""content"": ""{\""tool_calls\"": {\""name\"": \""show_pie_chart\"", \""args\"": {\""data_type\"": \""spending\"", \""time_range\"": \""last_month\"", \""group_by\"": \""category\""}}}""}"
3b92db6e-ric,complete,[0],1,tool,assistant,"{""name"": ""show_pie_chart"", ""arguments"": {""data_type"": ""spending"", ""time_range"": ""last_month"", ""group_by"": ""category"", ""categories"": [""Sport & Fitness""]}}",tool,"[{""name"": ""show_pie_chart"", ""arguments"": {""data_type"": ""spending"", ""time_range"": ""last_month"", ""group_by"": ""category"", ""categories"": [""Sport & Fitness""]}}]",,,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,"{""role"": ""assistant"", ""content"": ""{\""tool_calls\"": {\""name\"": \""show_pie_chart\"", \""args\"": {\""data_type\"": \""spending\"", \""time_range\"": \""last_month\"", \""group_by\"": \""category\"", \""categories\"": [\""Sport & Fitness\""]}}}""}"
df7d3c1c-ric,complete,[0],1,tool,assistant,"{""name"": ""show_pie_chart"", ""arguments"": {""data_type"": ""spending"", ""time_range"": ""this_month"", ""payees"": [""Tesco"", ""Argos""]}}",tool,"[{""name"": ""show_pie_chart"", ""arguments"": {""data_type"": ""spending"", ""time_range"": ""this_month"", ""group_by"": ""payee"", ""payees"": [""Tesco"", ""Argos""]}}]",,,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.3333333333333333,1.0,"{""role"": ""assistant"", ""content"": ""{\""tool_calls\"": {\""name\"": \""show_pie_chart\"", \""args\"": {\""data_type\"": \""spending\"", \""time_range\"": \""this_month\"", \""group_by\"": \""payee\"", \""payees\"": [\""Tesco\"", \""Argos\""]}}}""}"
dae579e7-ric,complete,[0],1,tool,assistant,"{""name"": ""show_pie_chart"", ""arguments"": {""data_type"": ""spending"", ""time_range"": ""last_90_days"", ""group_by"": ""category"", ""limit"": 5}}",tool,"[{""name"": ""show_pie_chart"", ""arguments"": {""data_type"": ""spending"", ""time_range"": ""last_30_days"", ""group_by"": ""category""}}]",,,1.0,1.0,1.0,1.0,0.0,0.0,0.75,0.5,0.0,0.0,0.0,"{""role"": ""assistant"", ""content"": ""{\""tool_calls\"": {\""name\"": \""show_pie_chart\"", \""args\"": {\""data_type\"": \""spending\"", \""time_range\"": \""last_30_days\"", \""group_by\"": \""category\""}}}""}"
bb61388e-ric,complete,[0],1,tool,assistant,"{""name"": ""show_pie_chart"", ""arguments"": {""data_type"": ""spending"", ""time_range"": ""last_month"", ""group_by"": ""payee""}}",tool,"[{""name"": ""show_pie_chart"", ""arguments"": {""data_type"": ""spending"", ""time_range"": ""last_month"", ""group_by"": ""payee""}}]",,,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,"{""role"": ""assistant"", ""content"": ""{\""tool_calls\"": {\""name\"": \""show_pie_chart\"", \""args\"": {\""data_type\"": \""spending\"", \""time_range\"": \""last_month\"", \""group_by\"": \""payee\""}}}""}"
b6d20e8c-ric,complete,[0],1,tool,assistant,"{""name"": ""show_line_chart"", ""arguments"": {""chart_type"": ""balance"", ""time_range"": ""last_90_days""}}",tool,"[{""name"": ""show_line_chart"", ""arguments"": {""chart_type"": ""balance"", ""time_range"": ""last_30_days"", ""by_account"": true}}]",,,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.5,0.0,0.5,0.0,"{""role"": ""assistant"", ""content"": ""{\""tool_calls\"": {\""name\"": \""show_line_chart\"", \""args\"": {\""chart_type\"": \""balance\"", \""time_range\"": \""last_30_days\""\n, \""by_account\"": true}}}""}"
